!! request processed by HyperLeda Tue Feb  1 20:12:14 2022
!! Number of lines in uploaded file: 673
                  name                  |     objname     |     al2000      |     de2000      |      type       |       bar       |      ring       |    multiple     |        t        |     logd25      |     logr25      |    e_logr25     |       pa        |       bt        |       it        |      vmaxg      |       m21       |      mfir       |        v        |       ag        |      incl       |      vrot       |      vvir       |      modz       |
MCG-01-10-019                           |  PGC013535      | 3.6786098       | -6.4151264      | SABc            | B               | R               | M               | 5.8             |  1.257          |   0.49          |    0.028        | 6.87            | 14.773          | 13.144          | 120.97          | 15.45           |                 | 5243.2          | 0.241           | 74.23           | 125.71          | 5074.6          | 34.335          |
MCG-01-33-007                           |  PGC043178      | 12.7939528      | -5.8674306      | E?              |                 |                 |                 | -1.4            |  1.041          |  0.058          |    0.031        | 139.66          | 14.78           | 12.825          |                 |                 |                 | 1368            | 0.119           | 32.76           |                 | 1396.4          | 31.579          |
MCG-01-52-012                           |  PGC065095      | 20.6305515      | -6.0907463      | E               |                 |                 |                 | -4              |  1.065          |   0.14          |    0.078        | 72.73           | 14.659          | 12.895          |                 |                 |                 | 3859            | 0.265           | 60.02           |                 | 3929.3          | 33.778          |
MCG-01-54-016                           |  PGC066738      | 21.4332854      | -3.8098364      | Scd             |                 |                 |                 | 7               |   1.15          |   0.74          |    0.028        | 32.33           | 15.555          | 14.19           | 92.19           | 15.428          |                 | 2933.5          | 0.27            | 84.82           | 92.57           | 2988.6          | 33.188          |
MCG-02-02-030                           |  PGC001841      | 0.5020299       | -11.1136152     | Sa              | B               | R               |                 | 1.2             |  1.271          |  0.364          |    0.022        | 170.72          | 13.526          | 12.186          | 146.11          | 15.646          | 13.231          | 3524.2          | 0.143           | 72.08           | 153.56          | 3426.5          | 33.49           |
MCG-02-02-040                           |  PGC001932      | 0.5265936       | -10.5063247     | SBbc            | B               | R               | M               | 3.8             |  1.166          |  0.389          |    0.024        | 49.5            | 14.393          | 12.834          | 136.18          | 14.824          | 12.291          | 3580            | 0.139           | 69.79           | 145.11          | 3484.1          | 33.515          |
MCG-02-02-086                           |  PGC002501      | 0.6973515       | -9.3031528      | S0              | B               | R               |                 | -2.5            |  1.166          |  0.193          |     0.03        | 148.95          | 14.604          | 12.605          |                 |                 |                 | 16596.3         | 0.163           | 62.55           |                 | 16499.6         | 36.935          |
MCG-02-06-016                           |  PGC007654      | 2.015285        | -8.8416113      | IB              | B               |                 |                 | 9.9             |  1.044          |  0.126          |    0.031        | 31              | 15.609          | 14.851          | 55.33           | 15.242          |                 | 1626.7          | 0.108           | 46.81           | 75.89           | 1487.1          | 31.697          |
MCG-02-08-014                           |  PGC010875      | 2.8731625       | -8.5104302      | Sab             |                 |                 |                 | 1.6             |  1.251          |  0.794          |    0.024        | 95.42           | 15.025          | 13.2            | 179.31          |                 |                 | 5023.4          | 0.231           |   90            | 179.31          | 4862            | 34.245          |
MCG-02-51-004                           |  PGC064373      | 20.2610806      | -13.6218889     | Sd              |                 |                 |                 | 8               |  1.183          |  0.451          |    0.025        | 159.67          | 13.96           | 12.345          | 208.54          | 16.272          | 13.096          | 5589.5          | 0.412           |   90            | 208.54          | 5632.5          | 34.569          |
Mrk1418                                 |  UGC05151       | 9.6741715       | 48.337665       | Sm              |                 |                 |                 | 9.2             |  0.819          |  0.071          |     0.04        | 15.82           | 13.735          | 13.343          | 47.06           | 15.092          | 13.722          | 770.8           | 0.099           | 35.59           | 80.88           | 932.6           | 30.694          |
NGC0001                                 |  NGC0001        | 0.1210722       | 27.7079306      | Sb              |                 |                 |                 | 3.1             |  1.195          |  0.164          |    0.035        | 112.39          | 13.694          | 12.802          | 146.05          | 14.85           | 12.035          | 4550            | 0.275           | 48.84           |  194            | 4650.2          | 34.151          |
NGC0014                                 |  NGC0014        | 0.1461844       | 15.8165794      | IB              | B               | R               |                 | 9.9             |  1.184          |   0.18          |    0.028        | 23.12           | 13.022          | 12.639          | 35.18           | 14.54           |                 | 864.7           | 0.336           | 55.65           | 42.61           | 908.8           | 30.694          |
NGC0023                                 |  NGC0023        | 0.1648111       | 25.9235991      | Sa              | B               |                 |                 | 1.2             |   1.19          |  0.103          |     0.02        | 174.16          | 12.839          | 10.805          | 183.95          | 15.428          | 10.749          | 4561.4          | 0.165           | 40.47           | 283.39          | 4651.9          | 34.151          |
NGC0036                                 |  NGC0036        | 0.1895306       | 6.3892222       | SABb            | B               |                 |                 | 3               |   1.33          |   0.21          |    0.055        | 14.85           | 14.389          | 11.63           | 206.91          | 15.157          | 13.276          | 6028.5          | 0.288           | 54.59           | 253.88          | 6025.7          | 34.708          |
NGC0155                                 |  NGC0155        | 0.5778053       | -10.7665159     | S0              |                 |                 |                 | -2.2            |  1.174          |  0.062          |    0.026        | 169.77          | 14.151          | 11.995          |                 |                 |                 | 6189.8          | 0.118           | 34.84           |                 | 6090.8          | 34.738          |
NGC0160                                 |  NGC0160        | 0.6011178       | 23.9576216      | S0-a            |                 | R               |                 | -0.4            |  1.297          |  0.348          |    0.028        | 45.67           | 13.612          | 11.311          | 254.76          | 15.977          |                 | 5252.7          | 0.147           | 76.05           | 262.51          | 5318.8          | 34.438          |
NGC0165                                 |  NGC0165        | 0.6080334       | -10.1061221     | Sbc             | B               |                 |                 | 4.1             |  1.212          |  0.186          |    0.027        | 72.49           | 13.993          | 12.693          | 146.62          | 16.298          | 13.182          | 5889.6          | 0.149           | 51.17           | 188.22          | 5792.6          | 34.632          |
NGC0169                                 |  NGC0169        | 0.6143361       | 23.9909167      | Sab             |                 |                 | M               | 2.5             |  1.185          |  0.365          |    0.032        | 92.51           | 13.42           | 11.45           | 277.77          | 15.491          | 12.84           | 4602.6          | 0.129           | 69.78           | 296.01          | 4668.4          | 34.151          |
NGC0171                                 |  NGC0171        | 0.6226475       | -19.9342711     | Sab             | B               | R               | M               | 2.2             |  1.313          |  0.203          |    0.038        | 101.91          | 12.978          | 11.08           | 56.33           | 15.503          | 13.265          | 3883.8          | 0.092           | 54.36           | 69.31           | 3743            | 33.686          |
NGC0180                                 |  NGC0180        | 0.6326917       | 8.6352222       | Sc              | B               |                 |                 | 4.6             |  1.342          |  0.171          |    0.037        | 163.25          | 14.187          |                 | 163.98          | 15.096          | 12.739          | 5279.3          | 0.238           | 49.06           | 217.1           | 5270.4          | 34.421          |
NGC0192                                 |  NGC0192        | 0.6537244       | 0.8641204       | Sa              | B               | R               | M               | 1.1             |  1.314          |  0.401          |    0.024        | 165.31          | 13.431          | 11.719          | 70.74           | 16.522          | 11.834          | 4165.2          | 0.088           | 76.16           | 72.86           | 4117.9          | 33.888          |
NGC0214                                 |  NGC0214        | 0.6911166       | 25.4993442      | SABc            | B               | R               |                 | 5               |  1.274          |  0.164          |    0.028        | 42.98           | 12.937          | 11.112          | 163.42          | 15.424          | 12.062          | 4535.9          | 0.156           | 48.03           | 219.81          | 4606.3          | 34.132          |
NGC0216                                 |  NGC0216        | 0.6908012       | -21.0480584     | S0              | B               |                 |                 | -1.7            |  1.129          |  0.332          |    0.029        | 26.95           | 13.704          | 12.03           | 69.62           | 14.227          |                 | 1536.5          | 0.085           | 84.18           | 69.98           | 1388.6          | 31.579          |
NGC0217                                 |  NGC0217        | 0.6927451       | -10.0214821     | SBa             | B               |                 |                 | 0.7             |  1.505          |  0.665          |    0.024        | 112.85          | 13.281          | 11.389          | 268.01          | 15.8            |                 | 3934.1          | 0.154           |   90            | 268.01          | 3834.3          | 33.732          |
NGC0234                                 |  NGC0234        | 0.7256602       | 14.3425582      | SABc            | B               |                 |                 | 5.2             |  1.199          |   0.11          |    0.031        | 74.06           | 13.428          | 12.198          | 100.88          | 15.426          | 11.655          | 4448.6          | 0.396           | 40.04           | 156.82          | 4464            | 34.054          |
NGC0237                                 |  NGC0237        | 0.7244008       | -0.1249684      | SABc            | B               |                 |                 | 4.5             |  1.115          |  0.211          |    0.018        | 174.34          | 13.728          | 12.411          | 129.37          | 14.703          | 12.352          | 4169.7          | 0.076           | 53.78           | 160.37          | 4115            | 33.888          |
NGC0257                                 |  NGC0257        | 0.8004167       | 8.2970556       | Sc              |                 |                 |                 | 5.8             |  1.263          |  0.142          |    0.038        | 98.59           | 13.308          | 11.492          | 183.1           | 15.029          | 12.115          | 5277.2          | 0.244           | 44.82           | 259.76          | 5260.4          | 34.421          |
NGC0309                                 |  NGC0309        | 0.9451801       | -9.9138734      | SABc            | B               | R               | M               | 5               |  1.348          |  0.059          |    0.029        |                 | 12.728          | 11.814          | 92.74           | 14.302          | 12.115          | 5653.4          | 0.174           | 29.76           | 186.82          | 5544.8          | 34.537          |
NGC0364                                 |  NGC0364        | 1.0780154       | -0.8027232      | S0              | B               | R               |                 | -1.8            |  1.147          |   0.39          |    0.028        | 33.1            | 14.242          | 12.308          |                 |                 |                 | 5117.3          | 0.137           |   90            |                 | 5046.3          | 34.335          |
NGC0426                                 |  NGC0426        | 1.2135002       | -0.2901797      | E               |                 | R               |                 | -4.3            |   1.08          |  0.133          |    0.023        | 146.27          | 13.838          | 12.627          |                 |                 |                 | 5259.4          | 0.143           | 60.31           |                 | 5186.1          | 34.387          |
