!! request processed by HyperLeda Fri Jan 28 04:24:18 2022
!! Number of lines in uploaded file: 153
                  name                  |     objname     |     al2000      |     de2000      |      type       |       bar       |      ring       |    multiple     |        t        |     logd25      |     logr25      |    e_logr25     |       pa        |       bt        |       it        |      vmaxg      |       m21       |      mfir       |        v        |       ag        |      incl       |      vrot       |      vvir       |      modz       |
MCG-01-10-015                           |  PGC013426      | 3.6442084       | -5.3473282      | Scd             |                 |                 |                 | 6.6             |  1.162          |  0.522          |    0.025        | 79.88           | 14.961          | 13.472          | 134.5           | 16.322          |                 | 4131            | 0.215           | 75.24           | 139.09          | 3967.8          | 33.8            |
MCG-01-10-019                           |  PGC013535      | 3.6786098       | -6.4151264      | SABc            | B               | R               | M               | 5.8             |  1.257          |   0.49          |    0.028        | 6.87            | 14.773          | 13.144          | 120.97          | 15.45           |                 | 5243.2          | 0.241           | 74.23           | 125.71          | 5074.6          | 34.335          |
MCG-01-52-012                           |  PGC065095      | 20.6305515      | -6.0907463      | E               |                 |                 |                 | -4              |  1.065          |   0.14          |    0.078        | 72.73           | 14.659          | 12.895          |                 |                 |                 | 3859            | 0.265           | 60.02           |                 | 3929.3          | 33.778          |
MCG-02-02-030                           |  PGC001841      | 0.5020299       | -11.1136152     | Sa              | B               | R               |                 | 1.2             |  1.271          |  0.364          |    0.022        | 170.72          | 13.526          | 12.186          | 146.11          | 15.646          | 13.231          | 3524.2          | 0.143           | 72.08           | 153.56          | 3426.5          | 33.49           |
MCG-02-51-004                           |  PGC064373      | 20.2610806      | -13.6218889     | Sd              |                 |                 |                 | 8               |  1.183          |  0.451          |    0.025        | 159.67          | 13.96           | 12.345          | 208.54          | 16.272          | 13.096          | 5589.5          | 0.412           |   90            | 208.54          | 5632.5          | 34.569          |
NGC0001                                 |  NGC0001        | 0.1210722       | 27.7079306      | Sb              |                 |                 |                 | 3.1             |  1.195          |  0.164          |    0.035        | 112.39          | 13.694          | 12.802          | 146.05          | 14.85           | 12.035          | 4550            | 0.275           | 48.84           |  194            | 4650.2          | 34.151          |
NGC0036                                 |  NGC0036        | 0.1895306       | 6.3892222       | SABb            | B               |                 |                 | 3               |   1.33          |   0.21          |    0.055        | 14.85           | 14.389          | 11.63           | 206.91          | 15.157          | 13.276          | 6028.5          | 0.288           | 54.59           | 253.88          | 6025.7          | 34.708          |
NGC0155                                 |  NGC0155        | 0.5778053       | -10.7665159     | S0              |                 |                 |                 | -2.2            |  1.174          |  0.062          |    0.026        | 169.77          | 14.151          | 11.995          |                 |                 |                 | 6189.8          | 0.118           | 34.84           |                 | 6090.8          | 34.738          |
NGC0169                                 |  NGC0169        | 0.6143361       | 23.9909167      | Sab             |                 |                 | M               | 2.5             |  1.185          |  0.365          |    0.032        | 92.51           | 13.42           | 11.45           | 277.77          | 15.491          | 12.84           | 4602.6          | 0.129           | 69.78           | 296.01          | 4668.4          | 34.151          |
NGC0171                                 |  NGC0171        | 0.6226475       | -19.9342711     | Sab             | B               | R               | M               | 2.2             |  1.313          |  0.203          |    0.038        | 101.91          | 12.978          | 11.08           | 56.33           | 15.503          | 13.265          | 3883.8          | 0.092           | 54.36           | 69.31           | 3743            | 33.686          |
NGC0180                                 |  NGC0180        | 0.6326917       | 8.6352222       | Sc              | B               |                 |                 | 4.6             |  1.342          |  0.171          |    0.037        | 163.25          | 14.187          |                 | 163.98          | 15.096          | 12.739          | 5279.3          | 0.238           | 49.06           | 217.1           | 5270.4          | 34.421          |
NGC0192                                 |  NGC0192        | 0.6537244       | 0.8641204       | Sa              | B               | R               | M               | 1.1             |  1.314          |  0.401          |    0.024        | 165.31          | 13.431          | 11.719          | 70.74           | 16.522          | 11.834          | 4165.2          | 0.088           | 76.16           | 72.86           | 4117.9          | 33.888          |
NGC0237                                 |  NGC0237        | 0.7244008       | -0.1249684      | SABc            | B               |                 |                 | 4.5             |  1.115          |  0.211          |    0.018        | 174.34          | 13.728          | 12.411          | 129.37          | 14.703          | 12.352          | 4169.7          | 0.076           | 53.78           | 160.37          | 4115            | 33.888          |
NGC0364                                 |  NGC0364        | 1.0780154       | -0.8027232      | S0              | B               | R               |                 | -1.8            |  1.147          |   0.39          |    0.028        | 33.1            | 14.242          | 12.308          |                 |                 |                 | 5117.3          | 0.137           |   90            |                 | 5046.3          | 34.335          |
NGC0429                                 |  NGC0429        | 1.2159472       | -0.3450079      | S0              | B               |                 | M               | -1.8            |  1.178          |   0.69          |     0.03        | 18.78           | 14.453          | 13.258          |                 |                 |                 | 5628            | 0.137           |   90            |                 | 5554.2          | 34.537          |
NGC0548                                 |  NGC0548        | 1.4340297       | -1.2256244      | E               |                 | R               |                 | -3.8            |  0.955          |  0.084          |    0.026        | 153.1           | 14.661          | 13.252          |                 |                 |                 | 5401.2          | 0.157           | 44.45           |                 | 5315.7          | 34.438          |
NGC0570                                 |  NGC0570        | 1.4829551       | -0.9489578      | Sa              | B               | R               |                 | 1               |  1.209          |  0.172          |    0.022        | 166.34          | 13.715          | 12.278          | 150.38          | 18.153          |                 | 5528.5          | 0.119           | 51.53           | 192.08          | 5442.6          | 34.488          |
NGC0675                                 |  NGC0675        | 1.81907         | 13.0595543      | Sa              |                 |                 |                 | 1               |  1.019          |  0.377          |    0.026        | 101.18          | 15.453          | 13.719          | 95.05           |                 | 13.578          | 5267.3          | 0.382           | 73.93           | 98.92           | 5239.3          | 34.404          |
NGC0693                                 |  NGC0693        | 1.8419075       | 6.1451551       | S0-a            |                 |                 |                 | 0.2             |  1.324          |  0.287          |    0.047        | 106             | 13.245          | 11.18           | 108.58          | 14.923          | 11.039          | 1561            | 0.229           | 66.69           | 118.23          | 1497.8          | 31.697          |
NGC0731                                 |  NGC0731        | 1.9156222       | -9.0108717      | E               |                 |                 |                 | -4              |   1.23          |  0.054          |    0.025        | 155.5           | 13.064          | 11.055          |                 |                 |                 | 3881.2          | 0.094           | 36.09           |                 | 3743.9          | 33.686          |
NGC0768                                 |  NGC0768        | 1.9780325       | 0.529193        | SBbc            | B               | R               | M               | 3.8             |  1.193          |  0.421          |    0.026        | 28.7            | 14.203          | 12.91           | 179.86          | 15.64           | 13.518          | 6990.2          | 0.14            | 72.12           | 188.98          | 6895.3          | 35.016          |
NGC0774                                 |  NGC0774        | 1.9929781       | 14.0082193      | S0              |                 |                 |                 | -2              |  1.107          |  0.081          |     0.03        | 163.84          | 14.278          | 12.351          | 95.61           | 16.692          |                 | 4594.8          | 0.263           | 39.31           | 150.92          | 4566.2          | 34.113          |
NGC0776                                 |  NGC0776        | 1.9984639       | 23.6444444      | SABa            | B               |                 |                 | 2.5             |   1.13          |  0.021          |    0.024        |                 | 13.443          | 11.94           | 58.23           | 15.632          | 12.637          | 4916.7          | 0.421           | 18.34           | 185.07          | 4936.9          | 34.281          |
NGC0810                                 |  NGC0810        | 2.0912949       | 13.2512736      | E               |                 |                 | M               | -4.4            |  1.147          |  0.203          |    0.029        | 30.83           | 15.043          | 12.592          |                 |                 |                 | 7781.6          | 0.443           |   90            |                 | 7746.2          | 35.264          |
NGC0825                                 |  NGC0825        | 2.1423222       | 6.32375         | Sa              |                 |                 |                 | 1.1             |  1.314          |  0.493          |    0.057        | 51.75           | 14.392          | 11.94           | 216.75          | 15.504          |                 | 3395.6          | 0.236           |   90            | 216.75          | 3324            | 33.411          |
NGC0932                                 |  NGC0930        | 2.4651889       | 20.3326389      | Sa              |                 | R               |                 | 1               |  1.302          |  0.036          |    0.026        |                 | 13.88           |                 | 87.49           | 17.146          |                 | 4078            | 0.6             | 24.39           | 211.82          | 4068.6          | 33.866          |
NGC0938                                 |  NGC0938        | 2.4759722       | 20.2836389      | E               |                 |                 |                 | -4.9            |  1.191          |  0.133          |    0.057        | 96.68           | 13.753          |                 |  85.5           | 16.624          |                 | 4104.7          | 0.492           | 66.27           | 93.39           | 4094.8          | 33.867          |
NGC0955                                 |  NGC0955        | 2.5091989       | -1.108429       | Sab             |                 |                 |                 | 2               |  1.435          |  0.492          |    0.024        | 19.57           | 12.917          | 11.055          | 151.73          | 15.359          |                 | 1485.5          | 0.156           | 81.54           | 153.4           | 1367.4          | 31.518          |
NGC0962                                 |  NGC0962        | 2.5444          | 28.0698889      | E-S0            |                 |                 |                 | -3.5            |  1.163          |  0.151          |    0.025        | 178.01          | 14.155          |                 |                 |                 |                 | 4609.4          | 0.4             | 59.34           |                 | 4638            | 34.151          |
NGC1026                                 |  NGC1026        | 2.6553333       | 6.5439167       | S0              |                 |                 |                 | -2              |  1.265          |   0.04          |    0.058        |                 | 14.058          |                 |                 |                 |                 | 4179            | 0.364           | 27.86           |                 | 4094.3          | 33.867          |
NGC1056                                 |  NGC1056        | 2.7134167       | 28.5740972      | Sa              |                 |                 |                 | 1               |  1.274          |  0.139          |    0.065        | 162.46          | 13.399          | 10.536          | 124.2           | 13.663          | 11.232          | 1542.1          | 0.652           | 46.72           | 170.59          | 1569.4          | 31.809          |
NGC1070                                 |  NGC1070        | 2.72285         | 4.9684444       | Sb              |                 |                 |                 | 3               |   1.37          |  0.068          |    0.049        | 178.32          | 12.882          |                 | 159.13          | 14.353          | 12.374          | 4091.5          | 0.243           | 32.52           | 296.02          | 3997.2          | 33.823          |
NGC1094                                 |  NGC1094        | 2.7910654       | -0.2851119      | SABa            | B               | R               |                 | 2.1             |  1.122          |  0.197          |    0.027        | 88.84           | 13.56           | 12.414          | 165.47          | 15.693          | 12.702          | 6423.7          | 0.171           | 53.79           | 205.09          | 6302.2          | 34.81           |
NGC1142                                 |  NGC1142        | 2.9200628       | -0.1835762      | E               |                 |                 |                 | -4.3            |  1.032          |   0.16          |    0.028        | 117.89          | 13.772          | 12.361          |                 |                 | 11.243          | 8634.1          | 0.312           | 67.97           |                 | 8509.9          | 35.467          |
NGC1324                                 |  NGC1324        | 3.4171325       | -5.7458323      | Sb              |                 |                 |                 | 3               |  1.375          |  0.538          |    0.027        | 140.68          | 13.401          | 11.799          | 292.06          | 15.044          | 12.789          | 5668.3          | 0.201           |   82            | 294.92          | 5507.4          | 34.521          |
NGC1349                                 |  NGC1349        | 3.5243167       | 4.3808611       | S0              |                 |                 |                 | -2              |  0.959          |      0          |    0.032        |                 | 14.218          |                 | 169.37          | 16.476          |                 | 6600            | 0.945           |    0            |                 | 6485.2          | 34.881          |
NGC1361                                 |  NGC1361        | 3.5715929       | -6.2649599      | E-S0            | B               |                 |                 | -3              |  1.093          |  0.171          |    0.023        | 43.75           | 14.676          | 12.799          |                 |                 |                 | 5254.2          | 0.174           | 61.03           |                 | 5088.1          | 34.352          |
NGC1542                                 |  NGC1542        | 4.287275        | 4.7815833       | Sab             |                 |                 |                 | 2               |  1.085          |  0.483          |    0.033        | 127.75          | 15.033          |                 | 186.85          | 17.356          | 13.637          | 3728.6          | 0.913           | 80.78           | 189.3           | 3604.6          | 33.59           |
NGC1645                                 |  NGC1645        | 4.7351111       | -5.46575        | S0-a            | B               | R               |                 | -0.9            |  1.339          |  0.422          |    0.027        | 89.2            | 14              | 11.719          | 117.01          | 15.82           |                 | 4890.8          | 0.231           |   90            | 117.01          | 4714.1          | 34.189          |
NGC1656                                 |  NGC1656        | 4.764834        | -5.1367548      | S0-a            | B               |                 |                 | -1.3            |   1.24          |  0.259          |    0.026        | 109.34          | 14.5            | 11.43           |                 |                 |                 | 3770.1          | 0.235           | 68.06           |                 | 3594.7          | 33.59           |
NGC1659                                 |  NGC1659        | 4.7749861       | -4.7887361      | Sbc             |                 | R               |                 | 4               |  1.176          |  0.204          |    0.022        | 51.45           | 13.205          | 11.712          | 151.88          | 15.859          | 12.059          | 4662            | 0.158           | 53.24           | 189.58          | 4488.1          | 34.073          |
NGC1665                                 |  NGC1665        | 4.8047403       | -5.427625       | S0              | B               |                 |                 | -1.8            |  1.253          |  0.225          |    0.025        | 55.83           | 14.06           | 11.347          |                 |                 |                 | 2751.7          | 0.265           | 64.96           |                 | 2574.7          | 32.873          |
NGC1666                                 |  NGC1666        | 4.8091236       | -6.5700972      | S0-a            | B               | R               |                 | -1              |  1.129          |  0.029          |    0.024        |                 | 13.666          | 11.34           |                 |                 |                 | 2756.9          | 0.374           | 22.77           |                 | 2574.9          | 32.873          |
NGC1667                                 |  NGC1667        | 4.8103277       | -6.319777       | SABc            | B               | R               |                 | 5               |  1.273          |  0.109          |    0.053        | 0.83            | 12.766          | 10.825          | 170.54          | 15.792          | 11.062          | 4566.6          | 0.329           | 39.81           | 266.34          | 4385.7          | 34.033          |
NGC2449                                 |  NGC2449        | 7.7889734       | 26.9301937      | SBab            | B               |                 |                 | 2               |  1.157          |  0.403          |     0.03        | 135.47          | 14.111          | 12.401          | 101.13          | 16.591          |                 | 4880.6          | 0.191           | 73.74           | 105.34          | 4895.2          | 34.263          |
NGC2513                                 |  NGC2513        | 8.0401849       | 9.413523        | E               |                 |                 |                 | -4.9            |   1.28          |  0.126          |    0.026        | 152.69          | 12.625          |                 | 63.18           | 17.894          |                 | 4702.2          | 0.1             | 63.66           | 70.5            | 4632            | 34.151          |
NGC2522                                 |  NGC2522        | 8.1037337       | 17.7065828      | S0-a            |                 |                 |                 | 0               |  1.062          |  0.546          |    0.054        | 33.07           | 14.101          | 12.105          |                 |                 |                 | 4706.8          | 0.268           |   90            |                 | 4680.7          | 34.17           |
NGC2530                                 |  NGC2530        | 8.1321111       | 17.8183889      | Scd             | B               |                 | M               | 6.6             |  1.147          |   0.17          |    0.024        | 170.54          | 14.622          | 12.43           | 67.04           | 15.504          | 13.135          | 5028            | 0.204           | 48.29           | 89.8            | 5003.2          | 34.317          |
NGC2540                                 |  NGC2540        | 8.2128998       | 26.361597       | Sc              | B               |                 |                 | 5.5             |  1.094          |  0.284          |    0.025        | 123.3           | 14.397          | 12.707          | 153.19          | 16.123          | 12.94           | 6288.8          | 0.148           | 60.43           | 176.14          | 6310.2          | 34.81           |
NGC2554                                 |  NGC2554        | 8.2981892       | 23.4722394      | S0-a            |                 | R               | M               | -0.1            |   1.31          |  0.192          |    0.033        | 153.75          | 12.946          |                 | 241.28          | 16.801          | 13.386          | 4128.9          | 0.246           | 55.75           | 291.9           | 4137.6          | 33.888          |
NGC2592                                 |  NGC2592        | 8.4522375       | 25.97031        | E               |                 |                 |                 | -4.8            |  1.166          |   0.09          |    0.025        | 47.17           | 13.555          |                 |                 |                 |                 | 2043.7          | 0.255           | 51.27           |                 | 2069.2          | 32.384          |
NGC2595                                 |  NGC2595        | 8.4616721       | 21.4791171      | Sc              | B               | R               | M               | 5               |   1.22          |   0.17          |    0.028        | 30.57           | 13.165          | 11.431          | 159.24          | 14.938          | 12.852          | 4326.2          | 0.172           | 48.78           | 211.71          | 4328.9          | 33.993          |
NGC2596                                 |  NGC2596        | 8.4573682       | 17.2841269      | Sb              |                 |                 |                 | 3.1             |  1.141          |  0.436          |    0.026        | 63.92           | 14.211          | 12.466          | 203.17          | 15.42           | 13.141          | 5935.3          | 0.177           | 74.22           | 211.13          | 5916.4          | 34.678          |
NGC3300                                 |  NGC3300        | 10.6106743      | 14.1712429      | S0              | B               | R               |                 | -1.8            |  1.184          |  0.291          |    0.025        | 173.64          | 13.323          | 11.918          |                 |                 |                 | 3017.7          | 0.165           | 75.44           |                 | 3056.5          | 33.246          |
NGC4003                                 |  NGC4003        | 11.9664003      | 23.1248961      | S0              | B               | R               |                 | -1.6            |  1.018          |  0.231          |    0.027        | 159.7           | 14.592          | 12.777          |                 |                 |                 | 6550.1          | 0.113           | 65.25           |                 | 6680.6          | 34.936          |
NGC4816                                 |  NGC4816        | 12.9366946      | 27.7455344      | E-S0            |                 |                 |                 | -3              |   1.14          |   0.34          |    0.028        |                 | 13.638          | 10.925          |                 |                 |                 | 6934.6          | 0.038           |   90            |                 | 7117.1          | 35.08           |
NGC4841A                                |  NGC4841A       | 12.9588724      | 28.4769592      | E               |                 |                 | M               | -4.1            |   1.16          |   0.02          |    0.026        |                 | 13.762          | 12.095          |                 |                 |                 | 6765.6          | 0.047           | 21.76           |                 | 6951.6          | 35.029          |
NGC5928                                 |  NGC5928        | 15.4341321      | 18.0736438      | S0              |                 |                 |                 | -2.1            |  1.215          |  0.183          |    0.026        | 103.15          | 13.683          | 11.991          |                 |                 |                 | 4460.5          | 0.231           | 59.21           |                 | 4673.4          | 34.17           |
NGC5954                                 |  NGC5954        | 15.5764252      | 15.1992225      | SABc            | B               |                 | M               | 5.9             |  1.009          |  0.325          |    0.037        | 19.17           | 12.81           |                 | 111.38          | 14.937          |                 | 1924.6          | 0.212           | 63.56           | 124.39          | 2128.7          | 32.467          |
NGC5957                                 |  NGC5957        | 15.5897826      | 12.04757        | Sb              | B               | R               |                 | 2.9             |  1.388          |  0.019          |    0.051        |                 | 13.562          | 11.965          |  42.1           | 14.223          | 13.149          | 1820.4          | 0.188           | 17.52           | 139.9           | 2011.9          | 32.341          |
NGC6020                                 |  NGC6020        | 15.9522607      | 22.4045495      | E               |                 |                 |                 | -4.8            |   1.24          |  0.199          |     0.03        | 136.14          | 13.759          | 12.247          |                 |                 |                 | 4304.2          | 0.282           |   90            |                 | 4541.1          | 34.093          |
NGC6132                                 |  NGC6132        | 16.3941192      | 11.7862551      | Sab             |                 |                 |                 | 2               |  1.108          |  0.475          |    0.026        | 126.5           | 14.709          | 13.453          | 154.64          | 14.739          | 13.708          | 4964.9          | 0.314           | 79.87           | 157.09          | 5166.3          | 34.387          |
NGC6427                                 |  NGC6427        | 17.7273861      | 25.4938889      | E-S0            |                 |                 |                 | -3              |  1.189          |  0.474          |    0.074        | 35.67           | 14.515          |                 |                 |                 |                 | 3231.3          | 0.287           |   90            |                 | 3487            | 33.515          |
NGC6941                                 |  NGC6941        | 20.6065194      | -4.6187515      | Sb              | B               |                 |                 | 3.3             |  1.237          |  0.159          |    0.023        | 125.97          | 14.167          | 12.44           | 176.35          | 15.26           | 13.721          | 6218            | 0.272           | 48.06           | 237.06          | 6296.2          | 34.81           |
NGC6977                                 |  NGC6977        | 20.8749255      | -5.7461617      | Sa              | B               | R               |                 | 1.3             |  1.098          |  0.128          |    0.022        | 167.85          | 14.124          | 12.741          | 75.25           |                 |                 | 6112.8          | 0.345           | 44.71           | 106.96          | 6177.2          | 34.767          |
NGC7025                                 |  NGC7025        | 21.1298156      | 16.3357467      | Sa              |                 |                 |                 | 1               |  1.305          |  0.185          |    0.022        | 44.9            | 13.994          |                 | 281.28          | 16.753          |                 | 4968.1          | 0.344           | 53.27           | 350.95          | 5125.8          | 34.37           |
NGC7194                                 |  NGC7194        | 22.0585828      | 12.6368719      | E               |                 |                 |                 | -4.9            |  1.117          |  0.166          |    0.043        | 17.65           | 14.317          | 12.481          |                 |                 |                 | 8146.3          | 0.249           | 82.59           |                 | 8255.7          | 35.401          |
NGC7311                                 |  NGC7311        | 22.5685444      | 5.5703056       | Sab             |                 |                 |                 | 2               |  1.168          |  0.334          |    0.026        | 11              | 13.318          |                 | 233.24          | 15.836          |                 | 4520.5          | 0.573           | 67.82           | 251.88          | 4577.9          | 34.113          |
NGC7321                                 |  NGC7321        | 22.6077842      | 21.6214952      | SBb             | B               | R               |                 | 3.1             |  1.148          |  0.163          |     0.03        | 17.74           | 13.922          | 11.88           | 197.63          | 15.552          | 13.166          | 7142            | 0.2             | 48.71           | 263.04          | 7270.4          | 35.131          |
NGC7364                                 |  NGC7364        | 22.7401069      | -0.1620814      | S0-a            |                 | R               |                 | 0.2             |  1.217          |  0.167          |    0.026        | 66.14           | 13.356          | 12.02           | 174.02          | 15.202          |                 | 4846.3          | 0.28            | 51.82           | 221.38          | 4869.6          | 34.245          |
NGC7466                                 |  NGC7466        | 23.0342819      | 27.0524028      | Sb              |                 |                 |                 | 3.1             |  1.188          |  0.419          |    0.034        | 25.4            | 14.557          | 12.7            | 194.08          | 15.791          | 13.045          | 7509.1          | 0.224           | 72.96           | 202.99          | 7645            | 35.24           |
NGC7489                                 |  NGC7489        | 23.1257528      | 22.9979722      | Sc              |                 |                 |                 | 6.4             |  1.085          |  0.271          |    0.022        | 165.16          | 14.233          | 12.422          | 166.39          | 14.77           | 12.828          | 6239.4          | 0.994           | 58.96           | 194.2           | 6354.7          | 34.825          |
NGC7549                                 |  NGC7549        | 23.2547968      | 19.0417755      | Sc              | B               |                 |                 | 5.9             |  1.267          |  0.393          |    0.035        | 33              | 14.077          | 12.776          | 111.66          | 16.41           | 12.307          | 4697.1          | 0.633           | 68.4            | 120.09          | 4790            | 34.208          |
NGC7559B                                |  UGC12463       | 23.2629374      | 13.2902966      | E-S0            |                 |                 | M               | -3.2            |  1.109          |  0.038          |    0.045        |                 | 14.431          | 12.501          |                 |                 |                 | 4566.8          | 0.229           | 28.73           |                 | 4633.1          | 34.151          |
NGC7562                                 |  NGC7562        | 23.265964       | 6.6873656       | E               |                 |                 |                 | -4.9            |  1.338          |  0.137          |    0.058        | 83.67           | 12.618          | 10.265          | 36.38           | 16.838          |                 | 3484.8          | 0.437           | 67.65           | 39.33           | 3519.9          | 33.54           |
NGC7563                                 |  NGC7563        | 23.2655387      | 13.1962135      | Sa              | B               |                 |                 | 1               |  1.185          |  0.223          |    0.028        | 143.2           | 13.887          | 12.124          | 179.93          | 16.83           |                 | 4292            | 0.239           | 58.09           | 211.96          | 4357.7          | 34.013          |
NGC7591                                 |  NGC7591        | 23.3045194      | 6.58575         | SBbc            | B               |                 |                 | 3.6             |  1.206          |  0.347          |    0.023        | 146.94          | 13.87           | 11.881          | 194.06          | 14.174          | 10.947          | 4955.3          | 0.448           | 66.91           | 210.95          | 4988.4          | 34.299          |
NGC7608                                 |  NGC7608        | 23.3209221      | 8.3500663       | Sbc             |                 |                 |                 | 3.7             |  1.156          |   0.56          |    0.024        | 18.84           | 14.991          | 12.83           | 131.82          | 16.337          |                 | 3529.7          | 0.308           | 81.73           | 133.2           | 3570.4          | 33.59           |
NGC7625                                 |  NGC7625        | 23.3417069      | 17.2256058      | Sa              |                 |                 | M               | 1               |  1.169          |  0.013          |    0.044        |                 | 12.937          | 10.869          | 73.76           | 14.645          | 10.68           | 1630.5          | 0.108           | 14.98           | 285.4           | 1711.9          | 32.018          |
NGC7631                                 |  NGC7631        | 23.3574083      | 8.2176111       | Sb              |                 | R               |                 | 3.1             |   1.27          |   0.35          |    0.036        | 78.17           | 13.899          | 11.952          | 167.95          | 15.995          |                 | 3754.9          | 0.315           | 67.7            | 181.52          | 3793.7          | 33.709          |
NGC7653                                 |  NGC7653        | 23.413707       | 15.2756006      | Sb              |                 |                 |                 | 3.1             |  1.209          |  0.062          |    0.046        | 172.47          | 13.424          | 12.109          | 117.38          | 15.311          | 12.524          | 4259.3          | 0.29            | 31.01           | 227.86          | 4328.9          | 33.993          |
NGC7683                                 |  NGC7683        | 23.4843889      | 11.4450833      | S0              |                 |                 |                 | -1.9            |  1.294          |  0.323          |     0.04        | 140             | 13.615          |                 |                 |                 |                 | 3729            | 0.318           | 84.69           |                 | 3777.9          | 33.709          |
NGC7684                                 |  NGC7684        | 23.5088952      | 0.0810968       | S0-a            |                 | R               |                 | -0.2            |  1.198          |  0.532          |    0.028        | 17.68           | 14.352          | 12.214          | 116.9           | 16.263          |                 | 5150.1          | 0.2             |   90            | 116.9           | 5143.9          | 34.37           |
NGC7716                                 |  NGC7716        | 23.6087363      | 0.2972754       | Sb              | B               | R               |                 | 3               |  1.263          |   0.16          |    0.028        | 34.34           | 12.966          | 11.674          | 103.53          | 14.504          | 13.261          | 2558.4          | 0.149           | 48.37           | 138.51          | 2549.2          | 32.839          |
PGC072803                               |  PGC072803      | 23.9027987      | 0.3828544       | S0              | B               |                 | M               | -2.1            |  1.188          |  0.333          |    0.024        | 108.81          | 14.03           | 12.332          |                 |                 |                 | 7835.2          | 0.186           |   90            |                 | 7814.8          | 35.287          |
UGC00005                                |  UGC00005       | 0.0515714       | -1.9138398      | Sbc             | B               |                 |                 | 3.9             |  1.144          |  0.338          |    0.026        | 47              | 14.222          | 12.17           | 211.11          | 15.578          | 13.029          | 7296.9          | 0.173           | 65.92           | 231.23          | 7259.6          | 35.118          |
UGC00036                                |  UGC00036       | 0.087181        | 6.7719444       | Sa              |                 | R               |                 | 1               |   1.17          |  0.359          |    0.027        | 17.2            | 14.618          | 12.33           | 235.69          | 16.746          |                 | 6289.9          | 0.226           | 72.21           | 247.53          | 6292.9          | 34.81           |
UGC00312                                |  UGC00312       | 0.5233028       | 8.46675         | SBd             | B               | R               | M               | 8               |  1.173          |  0.345          |    0.024        | 7.8             | 13.923          |                 | 120.89          | 14.666          |                 | 4361            | 0.163           | 78.92           | 123.18          | 4355.3          | 34.013          |
