!! request processed by HyperLeda Mon Aug  6 20:05:43 2018
!! Number of lines in uploaded file: 177
!! Manually edited names for IC2247, NGC4211NED02, UGC05498NED01, NGC 6125
                  name                  |     objname     |     al2000      |     de2000      |      type       |       bar       |      ring       |    multiple     |        t        |       e_t       |     logd25      |    e_logd25     |     logr25      |    e_logr25     |       pa        |       bt        |      e_bt       |       it        |      e_it       |      vmaxg      |     e_vmaxg     |       m21       |      e_m21      |      mfir       |        v        |       e_v       |       ag        |      incl       |      bvtc       |      vrot       |     e_vrot      |     modbest     |    e_modbest    |      mabs       |     e_mabs      |
  UGC10297                              |  UGC10297       | 16.2580114      | 18.9047852      | SBc             | B               |                 |                 | 5.2             | 0.6             |  1.333          |    0.031        |    0.7          |    0.026        | 0.89            | 14.989          | 0.33            | 13.282          | 0.064           | 102.97          |     3.4         | 15.922          | 0.106           |                 | 2305.4          | 1.9             | 0.238           |   90            |                 | 102.97          |                 |  32.832         |     0.225       | -19.242         |    0.4          |
  UGC10331                              |  UGC10331       | 16.289198       | 59.3201405      | Sbc             |                 |                 |                 | 3.8             | 2.1             |  1.163          |     0.04        |  0.577          |    0.033        | 145.51          | 14.745          | 0.276           | 13.788          | 0.071           | 101.23          |     6.2         | 15.82           | 0.092           | 12.843          | 4472.1          | 7.9             | 0.057           | 82.54           |                 | 102.09          |   6.27          |  34.208         |     0.227       | -20.413         |  0.358          |
  UGC10337                              |  UGC10337       | 16.3246136      | 7.2787645       | SABb            | B               |                 |                 | 3.1             | 0.4             |  1.083          |    0.043        |   0.52          |    0.023        | 65.26           | 14.864          | 0.276           | 13.419          | 0.072           | 256.64          |    7.69         | 16.271          | 0.166           |                 | 8758.9          | 5.6             | 0.335           | 80.33           |                 | 260.35          |   7.82          |  35.582         |     0.121       | -21.838         |  0.301          |
  UGC10380                              |  UGC10380       | 16.430536       | 16.5761221      | Sb              |                 |                 |                 | 3               | 0.5             |  1.189          |    0.036        |  0.806          |    0.024        | 110.88          | 15.381          | 0.279           | 13.664          | 0.072           | 242.42          |    9.16         | 16.021          | 0.224           |                 | 8750.3          | 2.3             | 0.23            |   90            |                 | 242.42          |                 |  35.582         |     0.121       | -21.511         |  0.304          |
  UGC10384                              |  UGC10384       | 16.4463011      | 11.5802432      | Sab             |                 |                 |                 | 1.6             | 2.6             |  1.067          |    0.083        |  0.679          |    0.045        | 90.69           | 14.996          | 0.287           | 13.674          | 0.047           | 165.74          |    3.66         | 15.128          | 0.158           | 12.141          | 4961.4          |   5             | 0.253           |   90            |                 | 165.74          |                 |   34.37         |      0.21       | -20.316         |  0.356          |
  UGC10650                              |  UGC10650       | 17.0040444      | 23.1062718      | IB              | B               |                 | M               | 9.9             | 0.4             |  1.095          |    0.044        |    0.7          |    0.028        | 26.97           | 15.232          | 0.322           |                 |                 |  58.6           |    2.46         | 16.1            | 0.225           |                 | 2964.1          | 7.2             | 0.319           |   90            |                 | 58.6            |                 |  33.358         |     0.338       | -19.739         |  0.467          |
  UGC10710                              |  UGC10710       | 17.1145832      | 43.1221482      | Sb              |                 |                 |                 | 3               | 0.4             |  1.222          |    0.038        |   0.56          |     0.03        | 149.58          | 14.996          | 0.327           | 13.019          | 0.307           | 244.77          |    9.59         | 15.906          | 0.272           |                 | 8327.5          | 5.7             | 0.149           | 84.16           |                 | 246.05          |   9.67          |  35.499         |     0.126       | -21.472         |  0.351          |
  UGC10796                              |  UGC10796       | 17.2799181      | 61.9201085      | Sb              | B               |                 | M               | 3.4             | 1.3             |  1.115          |    0.044        |  0.419          |    0.026        | 73.59           | 14.774          | 0.282           | 13.836          | 0.112           | 64.88           |     5.6         | 16.08           | 0.092           |                 | 3073.2          | 4.3             | 0.084           | 72.48           |                 | 68.04           |   5.88          |  33.464         |      0.32       | -19.414         |  0.427          |
  UGC10905                              |  UGC10905       | 17.5684417      | 25.3439222      | S0-a            |                 |                 |                 | -0.1            | 0.4             |  1.185          |    0.073        |  0.295          |    0.049        | 171.66          | 14.459          | 0.288           |                 |                 |                 |                 |                 |                 |                 | 7843            | 8.9             | 0.309           | 68.36           |                 |                 |                 |  35.367         |     0.134       | -21.44          |  0.318          |
  UGC10972                              |  UGC10972       | 17.7727439      | 26.543639       | Sc              |                 |                 |                 | 5.9             | 0.4             |  1.319          |    0.032        |  0.605          |    0.026        | 55.17           | 14.391          | 0.329           | 12.51           |  0.1            | 180.73          |    4.88         | 15.26           | 0.158           |                 | 4651.6          | 1.7             | 0.288           | 80.08           |                 | 183.47          |   4.97          |  34.263         |     0.221       | -21.218         |  0.397          |
  UGC12864                              |  UGC12864       | 23.9566652      | 30.9921465      | SBb             | B               |                 |                 | 3.1             | 0.4             |    1.2          |    0.029        |   0.43          |    0.028        | 98.09           | 14.578          | 0.28            | 12.942          | 0.064           | 120.54          |    2.88         | 15.023          | 0.168           | 13.7            | 4683            | 2.2             | 0.232           | 73.82           |                 | 125.51          |   3.02          |  34.226         |     0.226       | -20.521         |   0.36          |
